ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-42867,Source2,2,2016-06-21 10:46:30,2016-06-21 11:27:00,34.078926,-118.28904,,,0.0,Right hand shoulder blocked due to accident on US-101 Northbound at Exit 6A Vermont Ave.,US-101 N,Los Angeles,Los Angeles,CA,90004,US,US/Pacific,KCQT,2016-06-21 10:47:00,82.9,,47.0,29.95,10.0,Variable,4.6,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42868,Source2,3,2016-06-21 10:49:21,2016-06-21 11:34:21,34.091179,-118.239471,,,0.0,Accident on I-5 Northbound at Exit 138 Stadium Way.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2016-06-21 10:47:00,82.9,,47.0,29.95,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42882,Source2,3,2016-06-21 10:51:45,2016-06-21 11:36:45,34.037239,-118.309074,,,0.0,Accident on I-10 Eastbound at Exit 10 Western Ave.,I-10 W,Los Angeles,Los Angeles,CA,90018,US,US/Pacific,KCQT,2016-06-21 10:47:00,82.9,,47.0,29.95,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-42884,Source2,3,2016-06-21 10:56:24,2016-06-21 11:34:00,34.027458,-118.27449,,,0.0,Accident on I-110 Northbound at Exit 20C Adams Blvd.,Harbor Fwy N,Los Angeles,Los Angeles,CA,90007,US,US/Pacific,KCQT,2016-06-21 10:47:00,82.9,,47.0,29.95,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42899,Source2,3,2016-06-21 11:30:46,2016-06-21 12:00:46,33.947544,-118.279434,,,0.0,Right hand shoulder blocked due to accident on I-110 Northbound after Exit 15 Century Blvd.,Harbor Fwy N,Los Angeles,Los Angeles,CA,90003,US,US/Pacific,KHHR,2016-06-21 11:53:00,80.1,,52.0,29.96,10.0,ESE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42913,Source2,3,2016-06-21 11:59:09,2016-06-21 12:44:09,34.034721000000005,-118.344635,,,0.0,#4 &amp; #5 lane blocked slow traffic and right hand shoulder blocked due to accident on I-10 Eastbound after Exit 8 La Brea Ave.,I-10 W,Los Angeles,Los Angeles,CA,90016,US,US/Pacific,KSMO,2016-06-21 11:51:00,79.0,,58.0,29.96,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42915,Source2,3,2016-06-21 12:00:06,2016-06-21 12:42:00,33.947437,-118.279312,,,0.0,Slow traffic and right hand shoulder blocked due to accident on I-110 Northbound after Exit 15 Century Blvd.,Harbor Fwy N,Los Angeles,Los Angeles,CA,90003,US,US/Pacific,KHHR,2016-06-21 11:53:00,80.1,,52.0,29.96,10.0,ESE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-42916,Source2,2,2016-06-21 12:12:04,2016-06-21 12:57:04,34.069759000000005,-118.236176,,,0.0,Right hand shoulder blocked due to accident on CA-110 Southbound at Exits 24B 24C 24D Stadium Way.,Pasadena Fwy S,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 11:47:00,88.0,,40.0,29.94,10.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42917,Source2,2,2016-06-21 12:11:43,2016-06-21 12:56:43,33.957775,-118.231056,,,0.0,Accident on CA-42 Firestone Blvd both ways at Alameda St.,Firestone Blvd,Los Angeles,Los Angeles,CA,90002-1546,US,US/Pacific,KHHR,2016-06-21 11:53:00,80.1,,52.0,29.96,10.0,ESE,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-42925,Source2,3,2016-06-21 12:18:26,2016-06-21 13:01:00,33.928162,-118.238976,,,0.0,Right hand shoulder blocked due to accident on I-105 Eastbound at Exit 10 Wilmington Ave.,I-105 E,Los Angeles,Los Angeles,CA,90059,US,US/Pacific,KHHR,2016-06-21 11:53:00,80.1,,52.0,29.96,10.0,ESE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42926,Source2,2,2016-06-21 12:20:43,2016-06-21 13:04:00,34.078476,-118.2286,,,0.0,Right hand shoulder blocked due to accident on CA-110 Southbound before Exit 26A I-5.,Arroyo Seco Pkwy,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 12:47:00,84.0,,49.0,29.94,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42940,Source2,3,2016-06-21 12:42:25,2016-06-21 13:27:25,34.072959999999995,-118.219391,,,0.0,Accident on I-5 Southbound at Exits 136 136A 136B Avenue 21.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2016-06-21 12:47:00,84.0,,49.0,29.94,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42941,Source2,2,2016-06-21 13:12:38,2016-06-21 13:57:38,34.056087,-118.255882,,,0.0,Gore point obstructed due to multi-vehicle accident on CA-110 Northbound near Exit 23C-A Beaudry Ave.,CA-110 N,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 12:47:00,84.0,,49.0,29.94,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42942,Source2,2,2016-06-21 13:07:43,2016-06-21 13:52:43,34.076012,-118.231575,,,0.0,Accident on CA-110 Southbound before Exit 25 Academy Rd. On the median.,Pasadena Fwy S,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 12:47:00,84.0,,49.0,29.94,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42945,Source2,3,2016-06-21 13:17:18,2016-06-21 14:02:18,34.087738,-118.475189,,,0.0,Accident on I-405 Southbound after Getty Center Dr.,I-405 N,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,2016-06-21 12:51:00,79.0,,58.0,29.96,10.0,SW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42947,Source2,2,2016-06-21 13:18:58,2016-06-21 14:03:58,34.0509,-118.261429,,,0.0,Accident on CA-110 Northbound near Exit 22B James M Wood Blvd.,CA-110 N,Los Angeles,Los Angeles,CA,90017,US,US/Pacific,KCQT,2016-06-21 13:47:00,84.0,,47.0,29.94,10.0,SSE,6.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42956,Source2,2,2016-06-21 13:41:58,2016-06-21 14:26:58,33.92371,-118.269554,,,0.0,Accident on San Pedro St near 120th St.,E 120th St,Los Angeles,Los Angeles,CA,90061-2829,US,US/Pacific,KHHR,2016-06-21 13:53:00,79.0,,54.0,29.96,10.0,SSE,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-42959,Source2,3,2016-06-21 13:44:48,2016-06-21 14:29:48,33.928940000000004,-118.280708,,,0.0,One lane blocked due to accident on I-105 Westbound near Exits 7A 7B I-110.,I-105 W,Los Angeles,Los Angeles,CA,90061,US,US/Pacific,KHHR,2016-06-21 13:53:00,79.0,,54.0,29.96,10.0,SSE,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
